method,candidate_skill,candidate_params_json,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,threshold,risk_margin,decision,reject_reason,episode_id,episode_index,seed,skill_idx,attempt_type,attempt_index,parent_skill_idx,original_skill_idx,segment_idx,segment_count,original_candidate_skill,original_candidate_params_json,executed_skill,executed_params_json,fallback_policy,fallback_executed,recovery_action,recovery_reason,recovery_attempt_count,retry_decision,retry_reject_reason,retry_executed,task_progress_executed,final_segment_outcome,recovery_retry_count,result_status,result_termination_reason
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.9999979734420776,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",0.9999881982803345,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",0.9999929666519165,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",0.9999775886535645,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9999986886978149,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9999970197677612,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0001,1,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",0.999969482421875,0.03684604540467262,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",0.9999511241912842,0.3294229507446289,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.9999873638153076,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""left""}",0.9999630451202393,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""left""}",gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",0.9999923706054688,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -60.0}",0.9999964237213135,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -60.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -60.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9999463558197021,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9999343156814575,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0002,2,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": 15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",0.9999923706054688,0.0106694046407938,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",0.9999977350234985,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.9999980926513672,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,failed,passive_stillness_threshold_not_met
sonic_only,gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",0.9999992847442627,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",0.9999852180480957,0.4636649489402771,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",0.9999592304229736,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9966220855712891,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9989628791809082,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0003,3,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": 0.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",0.9995416402816772,0.045258358120918274,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",0.9918389916419983,0.04577428102493286,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -45.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.9993689656257629,0.03700492903590202,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",0.9991999268531799,0.04610211402177811,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",gesture,"{""amplitude"": 0.35, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",0.999808132648468,0.03800289332866669,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -170.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 60.0}",0.9994300007820129,0.2076016515493393,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 60.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 60.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9996973276138306,0.011178776621818542,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9998181462287903,0.017185909673571587,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0004,4,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",0.9999489784240723,0.04446489363908768,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 30.0}",0.9999972581863403,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 30.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 30.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.9999986886978149,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""both""}",0.9999982118606567,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""both""}",gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 1.0, ""side"": ""both""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",0.9998868703842163,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",0.9971017241477966,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 90.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.9999970197677612,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.9999958276748657,1.0,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0005,5,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.0}",0.9999672174453735,0.042366065084934235,0,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0006,6,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.0}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",0.9999983310699463,0.7756816148757935,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0006,6,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -30.0}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.999998927116394,0.8943647146224976,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0006,6,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
sonic_only,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""both""}",0.9999988079071045,0.8965809941291809,1,,,allow,sonic_only_allow,sonic_only__seed_1234__episode_0006,6,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""both""}",gesture,"{""amplitude"": 0.5, ""duration"": 3.0, ""frequency"": 0.5, ""side"": ""both""}",stop,0,,,0,,,0,1,candidate_allow,0,success,
