method,candidate_skill,candidate_params_json,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,threshold,risk_margin,decision,reject_reason,source_method,implementation_fidelity,baseline_mode,risk_score,fallback_mode,corrected_skill_json,runtime_ms,solver_status,diagnostics_json,episode_id,episode_index,seed,skill_idx,attempt_type,attempt_index,parent_skill_idx,original_skill_idx,segment_idx,segment_count,original_candidate_skill,original_candidate_params_json,executed_skill,executed_params_json,fallback_policy,fallback_executed,recovery_action,recovery_reason,recovery_attempt_count,retry_decision,retry_reject_reason,retry_executed,task_progress_executed,final_segment_outcome,recovery_retry_count,result_status,result_termination_reason
crc_cbf_adapted,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.00688992440700531,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.006749993190169334,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.007004011422395706,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.007023918442428112,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.006580958142876625,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
crc_cbf_adapted,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.0,0.0,0,0.1,-0.1,allow,allow,Safe Probabilistic Planning for Human-Robot Interaction using Conformal Risk Control,paper_faithful_proxy,gate,0.0,,,0.0065979547798633575,crc_risk_budget_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""conformal_lambda"": 0.0, ""risk_budget_alpha"": 0.1, ""threshold_source"": ""calibration_split_conformal_residual""}",crc_cbf_adapted__seed_1234__episode_0000,0,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",0.0,0.0,0,-0.15018325150012968,-0.2857938157561215,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.4359770672562512,,,0.05035905633121729,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.4359770672562512, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.16124515496597103, ""yaw_erosion"": 0.002777777777777778}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,1,candidate_allow,0,1,1,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": -10.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.8, ""vy"": -0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",0.0,0.0,0,-0.0,-0.5875,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.5875,,,0.0464579788967967,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.5875, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.0, ""yaw_erosion"": 0.0125}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,2,candidate_allow,0,2,2,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": 45.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,passive,"{""duration"": 1.5, ""mode"": ""stop""}",0.0,0.0,0,-0.0,-0.65,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.65,,,0.03957003355026245,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.05, ""predicted_min_cbf_margin"": 0.65, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.0, ""yaw_erosion"": 0.0}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,3,candidate_allow,0,3,3,1,1,passive,"{""duration"": 1.5, ""mode"": ""stop""}",passive,"{""duration"": 1.5, ""mode"": ""stop""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",0.0,0.0,0,-0.0,-0.4525,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.4525,,,0.05474803037941456,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.1475, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.4525, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.0, ""yaw_erosion"": 0.0}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,4,candidate_allow,0,4,4,1,1,gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",gesture,"{""amplitude"": 0.25, ""duration"": 3.0, ""frequency"": 0.75, ""side"": ""left""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",0.0,0.0,0,-0.15018325150012968,-0.2583953922625608,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.4085786437626905,,,0.03793591167777777,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.4085786437626905, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.1414213562373095, ""yaw_erosion"": 0.05}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,5,candidate_allow,0,5,5,1,1,walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",walk,"{""duration"": 3.0, ""facing_yaw_deg"": 180.0, ""height"": -1.0, ""speed"": 0.4, ""vx"": 0.7, ""vy"": 0.1}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",0.0,0.0,0,-0.0,-0.575,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.575,,,0.04069891292601824,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.575, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.0, ""yaw_erosion"": 0.025}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,6,candidate_allow,0,6,6,1,1,turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",turn,"{""duration"": 2.0, ""face_yaw_deg"": -90.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,passive,"{""duration"": 2.0, ""mode"": ""wait""}",0.0,0.0,0,-0.0,-0.65,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.65,,,0.03885803744196892,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.05, ""predicted_min_cbf_margin"": 0.65, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.0, ""yaw_erosion"": 0.0}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,7,candidate_allow,0,7,7,1,1,passive,"{""duration"": 2.0, ""mode"": ""wait""}",passive,"{""duration"": 2.0, ""mode"": ""wait""}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
mpc_cbf_humanoid_adapted,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",0.0,0.0,0,-0.15018325150012968,-0.32565008183320365,allow,allow,Geometry-Aware Predictive Safety Filters on Humanoids: From Poisson Safety Functions to CBF Constrained MPC,lightweight_proxy,gate,-0.47583333333333333,,,0.0365810701623559,feasible,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""calibration_mode"": ""phase4_conformal_calibration_only"", ""current_distance_margin"": 0.6, ""gesture_cost"": 0.0, ""hard_margin"": 1.0, ""min_arm_user_distance"": 10.0, ""min_obstacle_distance"": 10.0, ""min_user_distance"": 10.0, ""mpc_horizon_s"": 2.0, ""mpc_step_s"": 0.5, ""passive_credit"": 0.0, ""predicted_min_cbf_margin"": 0.47583333333333333, ""proxy_scope"": ""reduced_order_skill_level_feasibility_surrogate"", ""threshold_source"": ""calibration_split_skill_level_feasibility"", ""travel_erosion"": 0.12, ""yaw_erosion"": 0.004166666666666667}",mpc_cbf_humanoid_adapted__seed_1234__episode_0000,0,1234,8,candidate_allow,0,8,8,1,1,walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",walk,"{""duration"": 2.5, ""facing_yaw_deg"": -15.0, ""height"": -1.0, ""speed"": 0.35, ""vx"": 0.6, ""vy"": 0.0}",stop,0,,,0,,,0,1,candidate_allow,0,dry_run,
