sample_id,phase4_split,method,method_display,source_method,implementation_fidelity,baseline_mode,skill_name,label,safe_label,raw_critic_risk,hard_contract_score,hard_contract_fixed_reject,decision,allow,reject,unsafe_invocation_if_allowed,risk_score,threshold,risk_margin,fallback_mode,reject_reason,runtime_ms,solver_status,diagnostics_json
branches:phase3_counterfactual:state_0002_o1_s2__gesture_small__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.34644517149718e-07,0.011382108554244041,0,allow,1,0,0,1.5067036321650897,2.495321523610846,-0.9886178914457562,,allow,0.0027279602363705635,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011382108554244041, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0002_o1_s2__walk_fast__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,0.001656717504374683,0.0036457106471061707,0,allow,1,0,0,1.5310097507987948,2.5271178133641214,-0.9961080625653267,,allow,0.0030350638553500175,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0036457106471061707, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0002_o1_s2__walk_slow__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,2.4080190996755846e-06,0.02026795782148838,0,allow,1,0,0,1.547631997973177,2.5271178133641214,-0.9794858153909445,,allow,0.0027940841391682625,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.02026795782148838, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0002_o1_s2__walk_slow__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,1.945178155438043e-06,0.5,0,allow,1,0,0,2.0273640401516886,2.5271178133641214,-0.49975377321243286,,allow,0.0029939692467451096,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0003_o0_s2__walk_slow__r01:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,5.1207853175583296e-06,0.027068115770816803,0,allow,1,0,0,1.5544321559225054,2.5271178133641214,-0.9726856574416161,,allow,0.002759043127298355,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.027068115770816803, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0003_o0_s2__walk_slow__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,1.1984763659711462e-05,0.012366233393549919,0,allow,1,0,0,1.5397302735452385,2.5271178133641214,-0.9873875398188829,,allow,0.0026569468900561333,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.012366233393549919, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0003_o1_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.1302392383404367e-07,0.011315415613353252,0,allow,1,0,0,1.506636939224199,2.495321523610846,-0.988684584386647,,allow,0.002684071660041809,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011315415613353252, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0003_o1_s2__gesture_small__r01:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.288822145146696e-07,0.01280088722705841,0,allow,1,0,0,1.508122410837904,2.495321523610846,-0.9871991127729418,,allow,0.0025900080800056458,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.01280088722705841, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0003_o1_s2__gesture_small__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.38415111653012e-07,0.011745576746761799,0,allow,1,0,0,1.5070671003576075,2.495321523610846,-0.9882544232532384,,allow,0.002529006451368332,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011745576746761799, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0003_o1_s2__gesture_small__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.2929731358090066e-07,0.013281424529850483,0,allow,1,0,0,1.5086029481406962,2.495321523610846,-0.9867185754701497,,allow,0.002569984644651413,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.013281424529850483, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0004_o0_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.0944484901974647e-07,0.011306792497634888,0,allow,1,0,0,1.5066283161084806,2.495321523610846,-0.9886932075023653,,allow,0.0027259811758995056,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.011306792497634888, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0004_o0_s2__walk_fast__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,0.007129217963665724,0.007891716435551643,0,allow,1,0,0,1.5352557565872402,2.5271178133641214,-0.9918620567768812,,allow,0.0025599729269742966,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.007891716435551643, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0004_o0_s2__walk_slow__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,2.8002207272948e-06,0.00900357123464346,0,allow,1,0,0,1.536367611386332,2.5271178133641214,-0.9907502019777894,,allow,0.0025780173018574715,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.00900357123464346, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0004_o1_s2__walk_fast__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,0.00012412128853611648,0.0027295276522636414,0,allow,1,0,0,1.5300935678039522,2.5271178133641214,-0.9970242455601692,,allow,0.00273797195404768,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.0027295276522636414, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0005_o0_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.124337186160119e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0026259804144501686,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0005_o0_s2__gesture_small__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.5268352032981056e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0026479829102754593,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0005_o0_s2__gesture_small__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,6.669776553280826e-07,1.0,0,reject,0,1,0,2.495321523610846,2.495321523610846,0.0,passive_stop,pcbf_chance_constraint,0.003776978701353073,chance_constraint_violated,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 1.0, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0005_o1_s2__gesture_large__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.2078744166265096e-07,0.00849741417914629,0,allow,1,0,0,1.503818937789992,2.495321523610846,-0.9915025858208539,,allow,0.0026730122044682503,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.00849741417914629, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0005_o1_s2__gesture_small__r01:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.3762471812460717e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0026419293135404587,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0006_o0_s2__gesture_large__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.047882503575238e-07,0.010870239697396755,0,allow,1,0,0,1.5061917633082424,2.495321523610846,-0.9891297603026035,,allow,0.0026319175958633423,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.010870239697396755, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0006_o0_s2__gesture_large__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.1434424013477837e-07,0.012020355090498924,0,allow,1,0,0,1.5073418787013446,2.495321523610846,-0.9879796449095013,,allow,0.0026170164346694946,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.012020355090498924, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0006_o0_s2__walk_fast__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,0.0009888856438919902,0.5,0,allow,1,0,0,2.0273640401516886,2.5271178133641214,-0.49975377321243286,,allow,0.002642977051436901,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0006_o0_s2__walk_slow__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,3.0103090011834865e-06,0.010684564709663391,0,allow,1,0,0,1.538048604861352,2.5271178133641214,-0.9890692085027695,,allow,0.0026620691642165184,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.010684564709663391, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0006_o1_s2__walk_slow__r01:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,5.727642019337509e-06,0.020670346915721893,0,allow,1,0,0,1.5480343870674105,2.5271178133641214,-0.979083426296711,,allow,0.002650078386068344,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.020670346915721893, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0007_o0_s2__gesture_large__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.272496715249872e-07,0.012736857868731022,0,allow,1,0,0,1.5080583814795767,2.495321523610846,-0.9872631421312692,,allow,0.0026350608095526695,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.012736857868731022, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0007_o0_s2__gesture_large__r03:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.0631435404538934e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0026370398700237274,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0007_o0_s2__gesture_large__r04:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,gesture,0,safe,2.1097544333770202e-07,0.5,0,allow,1,0,0,1.9953215236108457,2.495321523610846,-0.5000000000000002,,allow,0.0026070047169923782,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9090909361839294}"
branches:phase3_counterfactual:state_0007_o0_s2__walk_slow__r02:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,7.84214716986753e-06,0.5,0,allow,1,0,0,2.0273640401516886,2.5271178133641214,-0.49975377321243286,,allow,0.0025640474632382393,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.5, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
branches:phase3_counterfactual:state_0007_o1_s2__walk_slow__r00:1,test,pcbf_adapted,PCBF-adapted,Reinforcement Learning with Probabilistically Safe Control Barrier Functions for Ramp Merging,paper_faithful_proxy,gate,walk,0,safe,2.709034788495046e-06,0.010358745232224464,0,allow,1,0,0,1.537722785383913,2.5271178133641214,-0.9893950279802084,,allow,0.0026010675355792046,chance_constraint_satisfied,"{""adapter_runtime_scope"": ""adapter_decide_only"", ""base_risk"": 0.010358745232224464, ""calibration_mode"": ""phase4_conformal_calibration_only"", ""chance_epsilon"": 0.05, ""chance_z"": 1.6448536269514722, ""threshold_source"": ""calibration_split_per_skill"", ""uncertainty_margin"": 0.9285714030265808}"
